Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",127.660000,-114.941000,-90.000000,top
"C2","100nF","C_0805_2012Metric",132.345000,-114.916000,-90.000000,top
"C3","10uF","C_0805_2012Metric",125.695000,-108.684000,-90.000000,top
"C4","100nF","C_0805_2012Metric",121.035000,-108.709000,-90.000000,top
"C5","100nF","C_0805_2012Metric",182.229000,-95.275000,0.000000,top
"C6","100nF","C_0805_2012Metric",165.879000,-107.610000,0.000000,top
"C7","100nF","C_0805_2012Metric",182.079000,-104.595000,0.000000,top
"C8","100nF","C_0805_2012Metric",162.829000,-96.605000,0.000000,top
"C9","100nF","C_0805_2012Metric",182.004000,-109.140000,0.000000,top
"C10","15pF","C_0805_2012Metric",170.804000,-112.225000,180.000000,top
"C11","15pF","C_0805_2012Metric",179.829000,-112.210000,0.000000,top
"C12","4.7uF","C_0805_2012Metric",182.079000,-99.945000,180.000000,top
"C13","100nF","C_0805_2012Metric",118.229000,-89.785000,-90.000000,top
"C14","100nF","C_0805_2012Metric",113.504000,-90.620000,90.000000,top
"C15","100nF","C_0805_2012Metric",147.945000,-90.029000,-90.000000,top
"C16","10uF","C_0805_2012Metric",141.784000,-55.885000,0.000000,top
"C17","2.2nF","C_0805_2012Metric",123.215000,-85.296000,-90.000000,top
"C18","100nF","C_0805_2012Metric",141.759000,-60.470000,0.000000,top
"C19","10pF","C_0805_2012Metric",141.784000,-65.255000,0.000000,top
"C20","DNP","C_0805_2012Metric",182.774000,-82.035000,180.000000,top
"C21","DNP","C_0805_2012Metric",172.359000,-82.145000,0.000000,top
"D1","SS14","DO-214AC",129.305000,-103.031000,180.000000,top
"D2","Green","LED_0805_2012Metric",137.820000,-114.926000,90.000000,top
"F1","500mA","Fuse_1206_3216Metric",121.960000,-103.001000,0.000000,top
"J1","2169900003","MOLEX_2169900003",109.835000,-105.302500,-90.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",151.089000,-109.900000,90.000000,top
"J3","Conn_Coaxial","LINX_CONSMA022-G",108.814000,-67.330000,-90.000000,top
"J4","Conn_Coaxial","LINX_CONSMA022-G",186.894000,-88.183250,90.000000,top
"R1","5.1k","R_0805_2012Metric",120.945000,-114.953000,90.000000,top
"R2","5.1k","R_0805_2012Metric",116.245000,-114.939000,-90.000000,top
"R3","10k","R_0805_2012Metric",130.430000,-108.711000,-90.000000,top
"R4","1k","R_0805_2012Metric",137.755000,-110.461000,-90.000000,top
"R5","10k","R_0805_2012Metric",162.804000,-102.420000,0.000000,top
"R6","4.7k","R_0805_2012Metric",110.900000,-83.526000,180.000000,top
"R7","4.7k","R_0805_2012Metric",110.975000,-86.951000,180.000000,top
"R8","0R","R_0805_2012Metric",177.489000,-82.055000,0.000000,top
"TP1","TestPoint","TestPoint_Pad_D1.5mm",133.480000,-99.556000,180.000000,top
"TP2","TestPoint","TestPoint_Pad_D1.5mm",140.030000,-99.431000,180.000000,top
"TP3","TestPoint","TestPoint_Pad_D1.5mm",112.305000,-115.006000,180.000000,top
"U1","AP2112K-3.3TRG1","SOT95P285X140-5N",137.655000,-103.812000,0.000000,top
"U2","STM32F411CEU6","QFN50P700X700X60-49N",172.654000,-101.695000,90.000000,top
"U3","MPU-6050T","QFN50P400X400X95-24N",117.954000,-83.865000,0.000000,top
"U4","NEO-6M-GPS","XCVR_NEO-6M-GPS",136.050000,-84.729000,-90.000000,top
"U5","E22-400M30S","E22-400M30S",185.109000,-78.281200,90.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",175.524000,-111.470000,0.000000,top
