"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C16","3","10uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2,C4,C5,C6,C7,C8,C9,C13,C14,C15,C18","11","100nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C10,C11","2","15pF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C12","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C17","1","2.2nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C19","1","10pF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C20,C21","2","DNP","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","SS14","","","","GoraMi_custom:DO-214AC",""
"D2","1","Green","","","","LED_SMD:LED_0805_2012Metric",""
"F1","1","500mA","","","","Fuse:Fuse_1206_3216Metric",""
"J1","1","2169900003","","","","GoraMi_custom:MOLEX_2169900003",""
"J2","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",""
"J3,J4","2","Conn_Coaxial","","","","GoraMi_custom:LINX_CONSMA022-G",""
"R1,R2","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3,R5","2","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R4","1","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R6,R7","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric",""
"R8","1","0R","","","","Resistor_SMD:R_0805_2012Metric",""
"TP1,TP2,TP3","3","TestPoint","","","","TestPoint:TestPoint_Pad_D1.5mm",""
"U1","1","AP2112K-3.3TRG1","","","","GoraMi_custom:SOT95P285X140-5N",""
"U2","1","STM32F411CEU6","","","","GoraMi_custom:QFN50P700X700X60-49N",""
"U3","1","MPU-6050T","","","","GoraMi_custom:QFN50P400X400X95-24N",""
"U4","1","NEO-6M-GPS","","","","GoraMi_custom:XCVR_NEO-6M-GPS",""
"U5","1","E22-400M30S","","","","GoraMi_custom:E22-400M30S",""
"Y1","1","8MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
